# Source: https://ltp.umich.edu/parking/locations-and-enforcement/ross-athletic-campus/
# Harvested: 2026-07-30. "Permit and Visitor Parking" table only.
Lot	Name	Address	EnforcementHours	Tier
SC1*	Athletic Department Permit Parking	333 E. Stadium Blvd	24 hrs, 7 days	Restricted
SC2	Between Hoover & Greene	1032 Greene Buidling	6am – 5pm, Mon – Fri	Blue
SC4*	Kipke Drive & Greene	Kipke Drive @ Greene Road	6am – 5pm, Mon – Fri	Yellow
SC5	Crisler Arena Area	Kipke Drive	6am – 5pm, Mon – Fri	Yellow
SC6*	Kipke Drive West	Kipke Drive	6am – 5pm, Mon – Fri	Orange
SC7	Crisler Arena Area	Kipke Drive – East	6am – 5pm, Mon – Fri	Orange
SC10*	Transportation & Fleet Services	1213 Kipke Drive	24 hrs, 7 days	Restricted
SC11	Physical Properties Building	326 E. Hoover	6am – 6pm, Mon – Fri	Blue
SC16	Campus Safety Services	1239 Kipke	6am – 5pm, Mon – Fri	Yellow
SC17*	Wolverine Tower	3003 State Street	6am – 5pm, Mon – Fri	Contractor
SC22*	Park & Ride Lot	2250 State Street, Ann Arbor MI 48109	24 hrs, 7 days	Park & Ride
SC32	Hoover & Greene Streets	1000 Greene Street	6am – 5pm, Mon – Fri	Visitor
SC34	State Street Commuter	2500 S. State Street	7am – 7pm, Mon – Fri	Park & Ride
SC35*	Buffalo Lot	Between Keech & Hoover Streets	6am – 5pm, Mon – Fri	Yellow
SC36	Keech & Main Street	Keech Street @ Main Street	6am – 5pm, Mon – Fri	Orange
SC37	Revelli Hall	348 E. Hoover	6am – 5pm, Mon – Fri	Blue
SC41*	Hoover off Main	East Hoover Street	6am – 5pm, Mon – Fri	Orange
SC43	Varsity Drive	3600 Varsity Drive	6am – 5pm, Mon – Fri	Yellow
